ts_code,symbol,name,area,industry,market,list_date
560510.SH,560510,中证A500ETF,,T+1交易,ETF,20241015
510300.SH,510300,沪深300ETF,,T+1交易,ETF,20120528
510500.SH,510500,中证500ETF,,T+1交易,ETF,20130315
560010.SH,560010,中证1000ETF指数,,T+1交易,ETF,20220804
159800.SZ,159800,中证800ETF,,T+1交易,ETF,20240712
510050.SH,510050,上证50ETF,,T+1交易,ETF,20050223
510180.SH,510180,上证180ETF,,T+1交易,ETF,20060518
159901.SZ,159901,深证100ETF,,T+1交易,ETF,20060424
159903.SZ,159903,深成ETF,,T+1交易,ETF,20100202
159923.SZ,159923,中证A100ETF基金,,T+1交易,ETF,20130305
159915.SZ,159915,创业板ETF,,T+1交易,ETF,20111209
159949.SZ,159949,创业板50ETF,,T+1交易,ETF,20160722
159572.SZ,159572,创业板200ETF易方达,,T+1交易,ETF,20231225
159782.SZ,159782,双创50ETF,,T+1交易,ETF,20210707
515180.SH,515180,红利ETF易方达,,T+1交易,ETF,20191220
515100.SH,515100,红利低波100ETF,,T+1交易,ETF,20200703
159717.SZ,159717,ESGETF,,T+1交易,ETF,20210929
515600.SH,515600,央企创新ETF,,T+1交易,ETF,20191218
159515.SZ,159515,国企红利ETF,,T+1交易,ETF,20230906
515070.SH,515070,人工智能AIETF,,T+1交易,ETF,20191224
515230.SH,515230,软件ETF,,T+1交易,ETF,20210302
512720.SH,512720,计算机ETF,,T+1交易,ETF,20190816
562920.SH,562920,信息安全ETF,,T+1交易,ETF,20230612
562030.SH,562030,信创ETF基金,,T+1交易,ETF,20231012
515400.SH,515400,大数据ETF,,T+1交易,ETF,20210120
516510.SH,516510,云计算ETF,,T+1交易,ETF,20210407
512760.SH,512760,芯片ETF,,T+1交易,ETF,20190612
512480.SH,512480,半导体ETF,,T+1交易,ETF,20190612
562820.SH,562820,集成电路ETF,,T+1交易,ETF,20240422
561980.SH,561980,半导体设备ETF,,T+1交易,ETF,20230901
562590.SH,562590,半导体材料ETF,,T+1交易,ETF,20231018
