ts_code,symbol,name,area,industry,market,list_date
159275.SZ,159275,农牧渔ETF,,T+1交易,ETF,20250929
159279.SZ,159279,创业板人工智能ETF华安,,T+1交易,ETF,20250929
159288.SZ,159288,创业板综ETF银华,,T+1交易,ETF,20250926
159297.SZ,159297,港股通创新药ETF南方,,T+0交易,ETF,20250922
563600.SH,563600,A500增强ETF易方达,,T+1交易,ETF,20250926
560570.SH,560570,A500红利ETF,,T+1交易,ETF,20250918
159107.SZ,159107,创业板软件ETF富国,,T+1交易,ETF,20250922
159290.SZ,159290,创业板综指增强ETF东财,,T+1交易,ETF,20250917
159272.SZ,159272,机器人ETF富国,,T+1交易,ETF,20250919
159102.SZ,159102,港股通生物科技ETF,,T+0交易,ETF,20250916
563230.SH,563230,卫星ETF,,T+1交易,ETF,20250917
159289.SZ,159289,创业板综指ETF鹏华,,T+1交易,ETF,20250915
159299.SZ,159299,金融科技ETF易方达,,T+1交易,ETF,20250911
159103.SZ,159103,金融科技ETF汇添富,,T+1交易,ETF,20250910
159298.SZ,159298,创业板50ETF大成,,T+1交易,ETF,20250908
561680.SH,561680,中证A500红利低波ETF,,T+1交易,ETF,20250905
159296.SZ,159296,A500红利低波ETF,,T+1交易,ETF,20250904
159101.SZ,159101,港股通科技ETF基金,,T+0交易,ETF,20250903
563320.SH,563320,通用航空ETF,,T+1交易,ETF,20250903
560770.SH,560770,机器人指数ETF,,T+1交易,ETF,20250901
159281.SZ,159281,港股通央企红利ETF天弘,,T+0交易,ETF,20250902
159292.SZ,159292,创业板综增强ETF华宝,,T+1交易,ETF,20250902
159286.SZ,159286,港股创新药ETF鹏华,,T+0交易,ETF,20250902
159259.SZ,159259,成长ETF,,T+1交易,ETF,20250828
159291.SZ,159291,创业板综增强ETF招商,,T+1交易,ETF,20250901
159500.SZ,159500,500ETF,,T+1交易,ETF,20250829
159287.SZ,159287,创业板综ETF博时,,T+1交易,ETF,20250827
159369.SZ,159369,创业板50ETF易方达,,T+1交易,ETF,20250821
